src_ip,dst_ip,src_port,dst_port,protocol,duration,protocoltype,service,flag,srcbytes,dstbytes,wrongfragment,hot,loggedin,numcompromised,rootshell,suattempted,numroot,numfilecreations,numshells,numaccessfiles,ishostlogin,isguestlogin,count,srvcount,serrorrate,srvserrorrate,rerrorrate,srvrerrorrate,samediprate,diffsrvrate,dsthostcount,dsthostsrvcount,dsthostsamedsrvrate,dsthostdiffsrvrate,dsthostserrorrate,dsthostsrvserrorrate,dsthostrerrorrate,dsthostsrvrerrorrate,lastflag,prediction
 2025 16:58:00.304966000 India Standard Time,,DNS,0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ANOMALY
 2025 16:58:00.320439000 India Standard Time,,DNS,0,,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ANOMALY
 2025 16:58:00.323408000 India Standard Time,,UDP,0,,0.0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,ANOMALY
 2025 16:58:00.346766000 India Standard Time,,UDP,0,,0.0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,ANOMALY
 2025 16:58:00.351593000 India Standard Time,,UDP,0,,0.0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,ANOMALY
 2025 16:58:00.603127000 India Standard Time,,UDP,0,,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ANOMALY
 2025 16:58:00.609038000 India Standard Time,,UDP,0,,0.0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,ANOMALY
 2025 16:58:00.631895000 India Standard Time,,UDP,0,,0.0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,ANOMALY
 2025 16:58:04.829392000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:04.829542000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:04.834748000 India Standard Time,,ICMPv6,0,,0.0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,ANOMALY
 2025 16:58:07.313806000 India Standard Time,192.168.29.112,SSL,62714,54.69.136.171,0.0,10,10,21,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,ANOMALY
 2025 16:58:07.597883000 India Standard Time,54.69.136.171,TCP,443,192.168.29.112,0.0,2,2,20,62714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
